,MONTH,DAY_OF_WEEK,FL_DATE,UNIQUE_CARRIER,TAIL_NUM,MFR,MODEL,DEP_TIME,DEP_TIME_BLK,ARR_TIME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ROUTE,FL_NUM,ORIGIN_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
334,7,4,2012-07-19,UA,517UA,BOEING                        ,757-222             ,1219.0,1000-1059,2043.0,80.0,0.0,0.0,0.0,0.0,14771 12478,760UA,14771,1040,99.0,1923,80.0,80.0,0,0,343,324.0,301.0,2586
335,5,3,2013-05-08,VX,853VA,AIRBUS                        ,A320-214            ,14.0,2300-2359,900.0,11.0,0.0,0.0,0.0,74.0,14771 12478,34VX,14771,2300,74.0,735,85.0,85.0,0,0,335,346.0,321.0,2586
336,8,2,2014-08-26,B6,768JB,AIRBUS                        ,A320-232            ,1150.0,1100-1159,2034.0,,,,,,14771 12478,416B6,14771,1149,1.0,2030,4.0,4.0,0,0,341,344.0,329.0,2586
337,5,1,2013-05-13,B6,508JB,CIRRUS DESIGN CORP            ,SR22                ,2055.0,2000-2059,505.0,,,,,,14771 12478,648B6,14771,2055,0.0,531,-26.0,0.0,0,0,336,310.0,287.0,2586
338,10,1,2013-10-07,UA,597UA,BOEING                        ,757-222             ,1320.0,1300-1359,2155.0,,,,,,14771 12478,637UA,14771,1310,10.0,2149,6.0,6.0,0,0,339,335.0,307.0,2586
339,4,7,2013-04-14,DL,717TW,BOEING                        ,757-231             ,2115.0,2100-2159,512.0,,,,,,14771 12478,2240DL,14771,2115,0.0,545,-33.0,0.0,0,0,330,297.0,267.0,2586
340,5,6,2012-05-05,UA,512UA,BOEING                        ,757-222             ,1034.0,1000-1059,1855.0,,,,,,14771 12478,760UA,14771,1040,-6.0,1925,-30.0,0.0,0,0,345,321.0,290.0,2586
341,2,4,2012-02-16,AA,320AA,BOEING                        ,767-223             ,1227.0,1200-1259,2132.0,0.0,0.0,27.0,0.0,0.0,14771 12478,16AA,14771,1230,-3.0,2105,27.0,27.0,0,0,335,365.0,304.0,2586
342,11,4,2013-11-14,B6,827JB,AIRBUS                        ,A320-232            ,1208.0,1200-1259,2031.0,,,,,,14771 12478,416B6,14771,1206,2.0,2030,1.0,1.0,0,0,324,323.0,303.0,2586
343,5,4,2012-05-10,DL,705TW,BOEING                        ,757-231             ,627.0,0600-0659,1516.0,,,,,,14771 12478,30DL,14771,630,-3.0,1513,3.0,3.0,0,0,343,349.0,309.0,2586
344,4,4,2013-04-25,DL,722TW,BOEING                        ,757-231             ,551.0,0600-0659,1407.0,,,,,,14771 12478,30DL,14771,600,-9.0,1430,-23.0,0.0,0,0,330,316.0,289.0,2586
345,6,3,2013-06-19,UA,555UA,BOEING                        ,757-222             ,1038.0,1000-1059,1911.0,,,,,,14771 12478,760UA,14771,1040,-2.0,1919,-8.0,0.0,0,0,339,333.0,307.0,2586
346,5,1,2012-05-28,VX,844VA,AIRBUS                        ,A320-214            ,2120.0,2100-2159,521.0,,,,,,14771 12478,30VX,14771,2120,0.0,559,-38.0,0.0,0,0,339,301.0,284.0,2586
347,4,2,2014-04-22,AA,789AA,CIRRUS DESIGN CORP            ,SR22                ,2224.0,2200-2259,648.0,,,,,,14771 12478,18AA,14771,2230,-6.0,705,-17.0,0.0,0,0,335,324.0,302.0,2586
348,3,6,2012-03-17,DL,707TW,BOEING                        ,757-2Q8             ,2226.0,2200-2259,709.0,,,,,,14771 12478,2340DL,14771,2230,-4.0,701,8.0,8.0,0,0,331,343.0,308.0,2586
349,5,4,2012-05-24,AA,339AA,BOEING                        ,767-223             ,1454.0,1500-1559,2326.0,,,,,,14771 12478,20AA,14771,1500,-6.0,2335,-9.0,0.0,0,0,335,332.0,286.0,2586
350,8,5,2012-08-17,AA,319AA,BOEING                        ,767-223             ,1501.0,1500-1559,2339.0,,,,,,14771 12478,20AA,14771,1500,1.0,2330,9.0,9.0,0,0,330,338.0,292.0,2586
351,6,3,2014-06-25,DL,702TW,BOEING                        ,757-2Q8             ,643.0,0600-0659,1552.0,0.0,0.0,27.0,0.0,0.0,14771 12478,418DL,14771,645,-2.0,1525,27.0,27.0,0,0,340,369.0,299.0,2586
352,3,4,2012-03-22,VX,530VA,AIRBUS                        ,A319-112            ,710.0,0700-0759,1608.0,0.0,23.0,5.0,0.0,0.0,14771 12478,12VX,14771,705,5.0,1540,28.0,28.0,0,0,335,358.0,331.0,2586
353,3,1,2012-03-19,UA,505UA,BOEING                        ,757-222             ,1353.0,1300-1359,2257.0,9.0,0.0,23.0,0.0,0.0,14771 12478,255UA,14771,1344,9.0,2225,32.0,32.0,0,0,341,364.0,337.0,2586
354,7,6,2012-07-14,DL,710TW,BOEING                        ,757-2Q8             ,1111.0,1100-1159,1951.0,,,,,,14771 12478,198DL,14771,1115,-4.0,2000,-9.0,0.0,0,0,345,340.0,303.0,2586
355,8,2,2014-08-12,AA,797AA,GROSS ROBERT                  ,F1                  ,650.0,0700-0759,1644.0,0.0,0.0,59.0,0.0,0.0,14771 12478,24AA,14771,700,-10.0,1545,59.0,59.0,0,0,345,414.0,339.0,2586
356,3,5,2014-03-21,UA,510UA,BOEING                        ,757-222             ,1633.0,1600-1659,35.0,,,,,,14771 12478,502UA,14771,1636,-3.0,100,-25.0,0.0,0,0,324,302.0,280.0,2586
357,5,5,2012-05-18,DL,717TW,BOEING                        ,757-231             ,629.0,0600-0659,1502.0,,,,,,14771 12478,30DL,14771,630,-1.0,1513,-11.0,0.0,0,0,343,333.0,305.0,2586
358,9,4,2014-09-04,VX,837VA,AIRBUS                        ,A320-214            ,700.0,0700-0759,1532.0,,,,,,14771 12478,12VX,14771,700,0.0,1540,-8.0,0.0,0,0,340,332.0,306.0,2586
359,9,3,2014-09-17,VX,840VA,AIRBUS                        ,A320-214            ,1334.0,1300-1359,2152.0,,,,,,14771 12478,24VX,14771,1325,9.0,2200,-8.0,0.0,0,0,335,318.0,290.0,2586
360,10,1,2012-10-08,VX,837VA,AIRBUS                        ,A320-214            ,1505.0,1500-1559,2324.0,,,,,,14771 12478,26VX,14771,1510,-5.0,2340,-16.0,0.0,0,0,330,319.0,298.0,2586
361,3,3,2014-03-19,DL,712TW,BOEING                        ,757-2Q8             ,1125.0,1100-1159,2004.0,,,,,,14771 12478,468DL,14771,1130,-5.0,2000,4.0,4.0,0,0,330,339.0,311.0,2586
362,10,2,2012-10-09,AA,355AA,BOEING                        ,767-323             ,657.0,0700-0759,1527.0,,,,,,14771 12478,24AA,14771,700,-3.0,1545,-18.0,0.0,0,0,345,330.0,299.0,2586
363,8,7,2014-08-17,B6,640JB,AIRBUS                        ,A320-232            ,625.0,0600-0659,1440.0,,,,,,14771 12478,16B6,14771,628,-3.0,1459,-19.0,0.0,0,0,331,315.0,299.0,2586
364,5,5,2012-05-18,UA,560UA,BOEING                        ,757-222             ,1029.0,1000-1059,1857.0,,,,,,14771 12478,760UA,14771,1030,-1.0,1925,-28.0,0.0,0,0,355,328.0,309.0,2586
365,2,5,2012-02-03,VX,839VA,AIRBUS                        ,A320-214            ,2124.0,2100-2159,537.0,,,,,,14771 12478,30VX,14771,2125,-1.0,555,-18.0,0.0,0,0,330,313.0,298.0,2586
366,4,1,2012-04-02,DL,707TW,BOEING                        ,757-2Q8             ,2223.0,2200-2259,700.0,,,,,,14771 12478,2340DL,14771,2230,-7.0,701,-1.0,0.0,0,0,331,337.0,301.0,2586
367,4,3,2014-04-09,DL,711ZX,BOEING                        ,757-231             ,2249.0,2200-2259,715.0,,,,,,14771 12478,2240DL,14771,2255,-6.0,722,-7.0,0.0,0,0,327,326.0,288.0,2586
368,4,7,2014-04-27,DL,721TW,BOEING                        ,757-231             ,2218.0,2100-2159,646.0,0.0,0.0,5.0,0.0,33.0,14771 12478,2040DL,14771,2145,33.0,608,38.0,38.0,0,0,323,328.0,302.0,2586
369,8,3,2013-08-07,VX,840VA,AIRBUS                        ,A320-214            ,2253.0,2300-2359,727.0,,,,,,14771 12478,34VX,14771,2300,-7.0,735,-8.0,0.0,0,0,335,334.0,291.0,2586
370,3,4,2012-03-15,UA,505UA,BOEING                        ,757-222             ,817.0,0800-0859,1648.0,,,,,,14771 12478,436UA,14771,819,-2.0,1700,-12.0,0.0,0,0,341,331.0,300.0,2586
371,6,6,2013-06-01,VX,843VA,AIRBUS                        ,A320-214            ,659.0,0700-0759,1538.0,,,,,,14771 12478,12VX,14771,700,-1.0,1535,3.0,3.0,0,0,335,339.0,317.0,2586
372,9,7,2013-09-22,AA,634AA,BOEING                        ,757-223             ,1441.0,1400-1459,2253.0,,,,,,14771 12478,20AA,14771,1440,1.0,2315,-22.0,0.0,0,0,335,312.0,290.0,2586
373,10,4,2012-10-04,DL,713TW,BOEING                        ,757-2Q8             ,612.0,0600-0659,1429.0,,,,,,14771 12478,30DL,14771,615,-3.0,1458,-29.0,0.0,0,0,343,317.0,289.0,2586
374,12,7,2012-12-02,VX,836VA,AIRBUS                        ,A320-214            ,2310.0,2300-2359,743.0,,,,,,14771 12478,34VX,14771,2300,10.0,735,8.0,8.0,0,0,335,333.0,299.0,2586
375,11,4,2012-11-01,B6,796JB,AIRBUS                        ,A320-232            ,2052.0,2100-2159,454.0,,,,,,14771 12478,648B6,14771,2100,-8.0,519,-25.0,0.0,0,0,319,302.0,285.0,2586
376,1,6,2014-01-18,UA,595UA,BOEING                        ,757-222             ,1046.0,1000-1059,1930.0,,,,,,14771 12478,760UA,14771,1051,-5.0,1923,7.0,7.0,0,0,332,344.0,314.0,2586
377,8,3,2014-08-27,DL,705TW,BOEING                        ,757-231             ,2302.0,2300-2359,729.0,,,,,,14771 12478,2571DL,14771,2300,2.0,735,-6.0,0.0,0,0,335,327.0,296.0,2586
378,11,7,2013-11-03,DL,703TW,BOEING                        ,757-2Q8             ,2112.0,2100-2159,459.0,,,,,,14771 12478,2240DL,14771,2115,-3.0,539,-40.0,0.0,0,0,324,287.0,274.0,2586
379,5,6,2014-05-24,UA,597UA,BOEING                        ,757-222             ,1329.0,1200-1259,2226.0,39.0,0.0,12.0,0.0,0.0,14771 12478,637UA,14771,1250,39.0,2135,51.0,51.0,0,0,345,357.0,322.0,2586
380,10,2,2012-10-23,DL,727TW,BOEING                        ,757-231             ,1116.0,1100-1159,1940.0,,,,,,14771 12478,2382DL,14771,1120,-4.0,2002,-22.0,0.0,0,0,342,324.0,284.0,2586
381,4,6,2013-04-27,AA,319AA,BOEING                        ,767-223             ,2233.0,2200-2259,717.0,,,,,,14771 12478,18AA,14771,2240,-7.0,715,2.0,2.0,0,0,335,344.0,316.0,2586
